##
#
"241434624","241500159","SG","SGP","Singapore"
"241500160","241565695","JP","JPN","Japan"
"241565696","241598463","IN","IND","India"
"241598464","241599487","CN","CHN","China"
"241599488","241600511","JP","JPN","Japan"
"241600512","241602559","AU","AUS","Australia"
"241602560","241604607","MY","MYS","Malaysia"
"241604608","241605631","ID","IDN","Indonesia"
"241605632","241606655","CN","CHN","China"
"241606656","241614847","IN","IND","India"
"241614848","241623039","JP","JPN","Japan"
"241623040","241627135","IN","IND","India"
"241627136","241631231","HK","HKG","Hong Kong"
"241631232","243269631","CN","CHN","China"
"243269632","243270655","JP","JPN","Japan"
"243270656","243271679","NZ","NZL","New Zealand"
"243271680","243272703","TH","THA","Thailand"
"243272704","243273727","NP","NPL","Nepal"
"243273728","243277823","JP","JPN","Japan"
"243277824","243286015","AU","AUS","Australia"
"243286016","243302399","JP","JPN","Japan"
"243302400","243400703","KR","KOR","Korea Republic of"
"243400704","243531775","CN","CHN","China"
"243531776","243662847","JP","JPN","Japan"
"243662848","243793919","CN","CHN","China"
"243793920","243859455","HK","HKG","Hong Kong"
"243859456","243916799","AU","AUS","Australia"
"243916800","243924991","JP","JPN","Japan"
"243924992","243990527","KR","KOR","Korea Republic of"
"243990528","244318207","IN","IND","India"
"244318208","245366783","CN","CHN","China"
"245366784","247463935","VN","VNM","Viet Nam"
"247463936","247472127","PH","PHL","Philippines"
"247472128","247479295","JP","JPN","Japan"
"247479296","247480319","CN","CHN","China"
"247480320","247482367","MY","MYS","Malaysia"
"247482368","247483391","PG","PNG","Papua New Guinea"
"247483392","247484415","CN","CHN","China"
"247484416","247488511","KR","KOR","Korea Republic of"
"247488512","247496703","JP","JPN","Japan"
"247496704","247504895","PK","PAK","Pakistan"
"247504896","247513087","AU","AUS","Australia"
"247513088","247529471","MY","MYS","Malaysia"
"247529472","247595007","JP","JPN","Japan"
"247595008","247726079","IN","IND","India"
"247726080","247857151","CN","CHN","China"
"247857152","247988223","HK","HKG","Hong Kong"
"247988224","248250367","AU","AUS","Australia"
"248250368","248381439","CN","CHN","China"
"248381440","248446975","KR","KOR","Korea Republic of"
"248446976","248512511","TH","THA","Thailand"
"248512512","249561087","CN","CHN","China"
"249561088","251658239","VN","VNM","Viet Nam"
"251658240","405012479","US","USA","United States"
"405012480","405143551","CA","CAN","Canada"
"405143552","405180415","US","USA","United States"
"405180416","405184511","CA","CAN","Canada"
"405184512","405364735","US","USA","United States"
"405372928","405422079","PR","PRI","Puerto Rico"
"405422080","405798911","US","USA","United States"
"405798912","405831679","CA","CAN","Canada"
"405831680","405843967","US","USA","United States"
"405843968","405848063","CA","CAN","Canada"
"405848064","405864447","PR","PRI","Puerto Rico"
"405864448","405921791","US","USA","United States"
"405921792","405929983","CA","CAN","Canada"
"405929984","405938175","US","USA","United States"
"405946368","405962751","CA","CAN","Canada"
"405962752","405970943","US","USA","United States"
"405979136","405995519","PR","PRI","Puerto Rico"
"406003712","406011903","US","USA","United States"
"406011904","406028287","BS","BHS","Bahamas"
"406028288","406110207","US","USA","United States"
"406110208","406126591","CA","CAN","Canada"
"406142976","406147071","US","USA","United States"
"406147072","406151167","CA","CAN","Canada"
"406159360","406175743","US","USA","United States"
"406183936","406208511","CA","CAN","Canada"
"406216704","406241279","US","USA","United States"
"406241280","406306815","PR","PRI","Puerto Rico"
"406323200","406388735","US","USA","United States"
"406388736","406454271","CA","CAN","Canada"
"406454272","406847487","US","USA","United States"
"406847488","407408639","CA","CAN","Canada"
"407408640","407633919","US","USA","United States"
"407633920","408420351","CA","CAN","Canada"
"408420352","408502271","US","USA","United States"
"408502272","408518655","CA","CAN","Canada"
"408518656","408535039","US","USA","United States"
"408535040","408551423","CA","CAN","Canada"
"408551424","408719359","US","USA","United States"
"408719360","408723455","VC","VCT","Saint Vincent and The Grenadines"
"408723456","409337855","US","USA","United States"
